id,name,type_id,brand_id,distillery_id,abv,age_years,price_usd,rating,tasting_note,excerpt,related_titles,source_url,source_author,source_published,source_image_url
egans-vintage-grain,Egans Vintage Grain,single-grain,egans,,46.0,,28.0,93,Summer sippin',"Many encounters with single grain Irish whiskey can lead you to question what the style is striving for: It invariably seems to lack the character of pot still or single malts, and the...",Paddy's Old Irish Whiskey|Writers’ Tears ‘Red Head’ Single Malt Irish Whiskey|Hinch Irish Whiskey Small Batch|Michael Collins Irish Whiskey,https://vinepair.com/review/egans-vintage-grain/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2021/03/egans_review_card.png
teeling-single-pot-still,Teeling Single Pot Still,single-pot-still,teeling,teeling,46.0,,68.0,93,A fine example of Ireland's signature style,Teeling’s Single Pot Still contains a higher-than-average 50 percent unmalted barley in its mash bill. The influence of unmalted grains — a calling card for Ireland's signature style — is evident...,Teeling Small Batch Irish Whiskey|Teeling ‘Blackpitts’ Peated Single Malt Whiskey|Paddy's Old Irish Whiskey|Proper No. Twelve Irish Whiskey,https://vinepair.com/review/teeling-single-pot-still/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2021/03/teeling_review_card.png
redbreast-12-year-old-single-pot-still,Redbreast 12-Year-Old Single Pot Still,single-pot-still,redbreast,midleton,40.0,12,64.0,94,Single pot still stalwart,"A stalwart in the single pot still category, Red Breast 12-year-old serves an easy-going, approachable intro to Ireland's traditional style of whiskey. Its inviting aromas start with dried fruits...",Redbreast Single Pot Still Irish Whiskey Pedro Ximénez Edition|Redbreast 21 Year Old Single Pot Still Irish Whiskey|Lost Irish Triple Distilled Irish Whiskey|Writers’ Tears ‘Red Head’ Single Malt Irish Whiskey,https://vinepair.com/review/redbreast-12-year-old-single-pot-still/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2021/03/redbreast_review_card.png
two-stacks-the-blenders-cut-cask-strength,Two Stacks The Blenders Cut Cask Strength,blended,two-stacks,,65.0,,60.0,93,Cask strength Irish whiskey? We're here for it,"Cask strength releases are seldom found in the realm of Irish whiskey but this release makes a strong argument in favor of them. Along with its 65 percent ABV content, the intriguing blend of grain...",Two Stacks Blended Irish Whiskey 'Tawny Port Cask Finished'|Two Stacks The First Cut Irish Whiskey|The Midnight Silkie Irish Whiskey|Limavady Single Barrel Single Malt Irish Whiskey,https://vinepair.com/review/two-stacks-the-blenders-cut-cask-strength/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2021/03/twostacks_review_card.png
the-busker-triple-cask-triple-smooth,The Busker Triple Cask Triple Smooth,blended,the-busker,royal-oak,40.0,,26.0,92,Can't argue with the name,"Aged and finished in bourbon, marsala, and sherry casks, this release combines a blend of single grain, single malt, and pot still whiskeys. The nose leads with rich malt aromas, followed by hints of...",The Busker Single Pot Still|Hinch Irish Whiskey Small Batch|Ha'Penny Four Cask Irish Whiskey|Limavady Single Barrel Single Malt Irish Whiskey,https://vinepair.com/review/the-busker-triple-cask-triple-smooth/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2021/03/busker_review_card.png
jameson-black-barrel,Jameson Black Barrel,blended,jameson,midleton,40.0,,37.0,91,All about the charred oak,"None can argue with the ubiquitous popularity of Jameson's flagship offering, but for added intensity and complexity seek out the brand's Black Barrel release. The name refers to a re-charring...",Waterford Irish Single Malt Whisky 'The Cuvée'|High N' Wicked ‘The Wild Rover’ Single Malt Irish Whiskey|Proper No. Twelve Irish Whiskey|Two Stacks Blended Irish Whiskey 'Tawny Port Cask Finished',https://vinepair.com/review/jameson-black-barrel/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2021/03/jameson_review_card.png
grace-omalley-blended-irish-whiskey,Grace O'Malley Blended Irish Whiskey,blended,grace-omalley,,40.0,,36.0,91,Recollections of rye,"Banana meets spearmint on the nose of this blend of grain and malt Irish whiskeys, which mature for three to 10 years in French oak, bourbon, and rum casks. The palate continues with spiced cereal...",Teeling Small Batch Irish Whiskey|The Midnight Silkie Irish Whiskey|Two Stacks The First Cut Irish Whiskey|Paddy's Old Irish Whiskey,https://vinepair.com/review/grace-omalley-blended-irish-whiskey/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2021/03/grace_review_card.png
powers-gold-label,Powers Gold Label,blended,powers,midleton,43.2,,30.0,90,Banana and pinapple husk,"A blend of grain and triple-distilled pot still whiskeys, Powers Gold Label immediately draws you in with banana and pineapple husk aromas, under which runs a luxurious waft of vanilla and baking...",Waterford Single Malt Irish Whisky ‘Biodynamic: Luna 1.1’|Teeling ‘Blackpitts’ Peated Single Malt Whiskey|High N' Wicked ‘Saints And Scholars II’ 19 Year Old Single Malt Irish Whiskey|Clonakilty Distillery Single Batch Double Oak Cask Finish Irish Whiskey,https://vinepair.com/review/powers-gold-label/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2021/03/powers_review_card.png
roe-and-co-blended-irish-whiskey,Roe & Co. Blended Irish Whiskey,blended,roe-and-co,roe-and-co,45.0,,35.0,90,"Perfumed aromas, rich palate","This blended whiskey from Diageo-owned Roe & Co. combines aged malt and grain distillates. It has a light, perfumed nose with plenty of fruit character. Moving onto the palate the dram gains richness...",Writers’ Tears Double Oak Irish Whiskey|Writers’ Tears ‘Red Head’ Single Malt Irish Whiskey|Bushmills 12 Year Old Single Malt Irish Whiskey|Tipperary Single Malt Whiskey 'Homegrown Barley',https://vinepair.com/review/roe-co-blended-irish-whiskey/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2021/03/roecoe_review_card.png
teeling-single-malt,Teeling Single Malt,single-malt,teeling,teeling,46.0,,60.0,91,A refined Irish single malt,"Established in 2015, the Teeling Distillery is the first new distillery to open in Dublin for over 125 years. This single malt is one of a number of high-quality releases from this brand. Matured and...",Teeling ‘Blackpitts’ Peated Single Malt Whiskey|Teeling Small Batch Irish Whiskey|Paddy's Old Irish Whiskey|Proper No. Twelve Irish Whiskey,https://vinepair.com/review/teeling-single-malt/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2020/06/btbirishwhiskey_review_teeling.png
knappogue-castle-12-years-old-single-malt,Knappogue Castle 12 Years Old Single Malt,single-malt,knappogue-castle,,46.0,12,47.0,94,The perfect whiskey for summer sipping,"This single malt is triple-distilled and aged for 12 years in bourbon casks. The nose is rich and inviting, with aromas of dried stone fruits, nuts, and malted barley. That combination continues...",Killowen Distillery Single Malt Irish Whiskey Signature 5 Year Rum and Raisin Inspired|Clonakilty Distillery Single Batch Double Oak Cask Finish Irish Whiskey|Lost Irish Triple Distilled Irish Whiskey|The Midnight Silkie Irish Whiskey,https://vinepair.com/review/knappogue-castle-12-years-old-single-malt/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2020/06/btbirishwhiskey_review_knappogue.png
the-tyrconnell-10-year-old-madeira-cask-finish,The Tyrconnell 10 Year Old Madeira Cask Finish,single-malt,tyrconnell,cooley,46.0,10,81.0,91,Worth the splurge,"This double-distilled single malt rests for 10 years in bourbon barrels before a final finishing period in Madeira casks. The fortified Portuguese wine has a delightful influence, adding honeyed...",The Tyrconnell 10 Year Port Cask Finish Irish Whiskey|Hinch Irish Whiskey Small Batch|Teeling ‘Blackpitts’ Peated Single Malt Whiskey|West Cork Distillers Single Malt Irish Whiskey Bog Oak Charred Cask,https://vinepair.com/review/the-tyrconnell-10-year-old-madeira-cask-finish/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2020/06/btbirishwhiskey_review_tyrconnel.png
sexton-single-malt,Sexton Single Malt,single-malt,sexton,bushmills,40.0,,28.0,88,Rich and approachable with a spiced finish,"This rich and approachable whiskey arrives in an unconventional, new-age bottle. Malted barley takes center stage on the nose, followed by sweet undertones of green apple and milk chocolate. The...",Waterford Irish Single Malt Whisky 'The Cuvée'|The Midnight Silkie Irish Whiskey|Two Stacks Blended Irish Whiskey 'Tawny Port Cask Finished'|Redbreast Single Pot Still Irish Whiskey Pedro Ximénez Edition,https://vinepair.com/review/sexton-single-malt/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2020/06/btbirishwhiskey_review_sexton.png
powers-johns-lane-12-years,Powers Johns Lane 12 Years,single-pot-still,powers,midleton,46.0,12,71.0,94,Apples and honey with a hint of leather,"This pot still release ages for 12 years in ex-bourbon casks, while a small proportion also rests for one year in Oloroso sherry butts. The resulting spirit has a luxurious profile that's...",Hinch Irish Whiskey Small Batch|Two Stacks Blended Irish Whiskey 'Tawny Port Cask Finished'|Proper No. Twelve Irish Whiskey|High N’ Wicked Aeneas Coffey Single Grain Irish Whiskey,https://vinepair.com/review/powers-johns-lane-12-years/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2020/06/btbirishwhiskey_review_powers.png
slane-triple-casked,Slane Triple Casked,blended,slane,slane,40.0,,27.0,91,Bold but balanced,"This release matures in three different types of oak before bottling: new oak, former Tennessee and bourbon whiskey barrels, and sherry casks. The notable wood influence is apparent throughout but...",West Cork Distillers Single Malt Irish Whiskey Bog Oak Charred Cask|Two Stacks The First Cut Irish Whiskey|Clonakilty Distillery Single Batch Double Oak Cask Finish Irish Whiskey|Paddy's Old Irish Whiskey,https://vinepair.com/review/slane-triple-casked/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2020/06/btbirishwhiskey_review_slane.png
the-irishman-small-batch-founders-reserve,The Irishman Small Batch Founders Reserve,blended,the-irishman,,40.0,,32.0,91,Robust and full of character,This release contains an interesting blend of 70 percent single malt and 30 percent pot still whiskeys. The result is a whiskey that's robust enough for cocktails but also has plenty of character to...,Redbreast 21 Year Old Single Pot Still Irish Whiskey|Clonakilty Distillery Single Batch Double Oak Cask Finish Irish Whiskey|Michael Collins Irish Whiskey|The Busker Single Pot Still,https://vinepair.com/review/the-irishman-small-batch-founders-reserve/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2020/06/btbirishwhiskey_review_irishman.png
bushmills-single-malt-10-years,Bushmills Single Malt 10 Years,single-malt,bushmills,bushmills,40.0,10,46.0,95,Single malt Scotch — beware!,"The Scots may have cornered the single malt category, but this 10-year aged expression from Bushmills offers stiff competition. Over the course of the decade aging, the whiskey has developed complex...",Bushmills 12 Year Old Single Malt Irish Whiskey|Two Stacks The First Cut Irish Whiskey|Redbreast 21 Year Old Single Pot Still Irish Whiskey|The Busker Single Pot Still,https://vinepair.com/review/bushmills-single-malt-10-years/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2020/06/btbirishwhiskey_review_busmills.png
redbreast-single-pot-still-lustau-finish,Redbreast Single Pot Still Lustau Finish,single-pot-still,redbreast,midleton,46.0,,73.0,97,Double sherry casked!,"Containing a blend of malted and unmalted barley in the mash bill, this pot still whiskey is triple distilled before it embarks on a long aging journey. That journey begins with a period of nine to...",Redbreast 21 Year Old Single Pot Still Irish Whiskey|Redbreast Single Pot Still Irish Whiskey Pedro Ximénez Edition|Bushmills 12 Year Old Single Malt Irish Whiskey|Paddy's Old Irish Whiskey,,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2020/06/btbirishwhiskey_review_redbreast.png
kilbeggan-single-pot-still,Kilbeggan Single Pot Still,single-pot-still,kilbeggan,kilbeggan,43.0,,45.0,97,Oats!,"Along with malted and unmalted barley, this release includes 2.5 percent oats in the mash bill. That doesn’t sound like a lot, but it plays a major, positive impact on the whiskey’s character. On the...",Proper No. Twelve Irish Whiskey|The Tyrconnell 10 Year Port Cask Finish Irish Whiskey|Writers’ Tears ‘Red Head’ Single Malt Irish Whiskey|Killowen Distillery Single Malt Irish Whiskey Signature 5 Year Rum and Raisin Inspired,https://vinepair.com/review/kilbeggan-single-pot-still/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2020/06/btbirishwhiskey_review_kilbeggan.png
glendalough-pot-still,Glendalough Pot Still,single-pot-still,glendalough,glendalough,43.0,,56.0,94,A truly Irish whiskey,"This is a truly Irish whiskey. For the final year of its maturation period, this release rests in virgin casks made from Irish oak. The influence of that oak is well integrated on the nose and the...",West Cork Distillers Single Malt Irish Whiskey Bog Oak Charred Cask|High N’ Wicked Aeneas Coffey Single Grain Irish Whiskey|Dingle Single Malt Whiskey Batch No. 4|Two Stacks Blended Irish Whiskey 'Tawny Port Cask Finished',https://vinepair.com/review/glendalough-pot-still/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2020/06/btbirishwhiskey_review_glendalough.png
tullamore-d-e-w-caribbean-rum-cask-finish,Tullamore D.E.W. Caribbean Rum Cask Finish,blended,tullamore-dew,tullamore,43.0,,29.0,88,A smooth-sipping fruit-forward Irish whiskey,"This triple distilled blend contains pot still, malt, and grain Irish whiskeys. Its overall profile is smooth-sipping and fruit-forward. A distinctive banana chip note runs throughout the nose and...",Method and Madness Rye and Malt Irish Whiskey|Michael Collins Irish Whiskey|Paddy's Old Irish Whiskey|Lost Irish Triple Distilled Irish Whiskey,https://vinepair.com/review/tullamore-d-e-w-caribbean-rum-cask-finish/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2020/06/btbirishwhiskey_review_tullamore.png
