id,name,type_id,brand_id,distillery_id,abv,age_years,price_usd,rating,tasting_note,excerpt,related_titles,source_url,source_author,source_published,source_image_url
high-n-wicked-aeneas-coffey-single-grain-irish-whiskey,High N Wicked Aeneas Coffey Single Grain Irish Whiskey,single-grain,high-n-wicked,,50.0,,90.0,94,Cake frosting and lemon zest,"Irish whiskey is undergoing a resurgence, with the number of distilleries in the country on the rise. This is paving the way for innovation and experimentation in the industry. An example of this is...",High N' Wicked ‘The Wild Rover’ Single Malt Irish Whiskey|High N' Wicked ‘Saints And Scholars II’ 19 Year Old Single Malt Irish Whiskey|High N' Wicked Singular Limited Release No. 6 ‘The Judge’|Two Stacks Blended Irish Whiskey 'Tawny Port Cask Finished',https://vinepair.com/review/high-n-wicked-aeneas-coffey-single-grain-irish-whiskey/,Tim McKirdy,2023-03-13,https://vinepair.com/wp-content/uploads/2022/12/50-best-spirits-2022-spirit-48-HighandWickedSingleGrainIrishWhiskey-review.jpg
high-n-wicked-the-wild-rover-single-malt-irish-whiskey,High N' Wicked The Wild Rover Single Malt Irish Whiskey,single-malt,high-n-wicked,,58.7,,152.0,95,"A show-stopping, cask-strength single malt","Wyoming-based High N’ Wicked releases limited-edition whiskeys in partnership with the California importer Altamar Brands. The second release from the label, this triple-distilled cask-strength...",High N’ Wicked Aeneas Coffey Single Grain Irish Whiskey|High N' Wicked Singular Limited Release No. 6 ‘The Judge’|High N' Wicked ‘Saints And Scholars II’ 19 Year Old Single Malt Irish Whiskey|Writers’ Tears ‘Red Head’ Single Malt Irish Whiskey,https://vinepair.com/review/high-n-wicked-the-wild-rover-single-malt-irish-whiskey/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2022/03/buy-this-booze-irish-whiskey_card_highnwicked.jpg
redbreast-single-pot-still-irish-whiskey-pedro-ximenez-edition,Redbreast Single Pot Still Irish Whiskey Pedro Ximénez Edition,single-pot-still,redbreast,midleton,46.0,,124.0,95,Attractively sweet with nutty complexity,"Arriving at the tail end of 2021, this limited-edition Redbreast release is initially aged in bourbon and oloroso sherry casks, then finished for up to 22 months in Pedro Ximénez hogsheads. For those...",Redbreast 21 Year Old Single Pot Still Irish Whiskey|West Cork Distillers Bourbon Cask|Clonakilty Distillery Single Batch Double Oak Cask Finish Irish Whiskey|West Cork Distillers Single Malt Irish Whiskey Bog Oak Charred Cask,https://vinepair.com/review/redbreast-single-pot-still-irish-whiskey-pedro-ximenez-edition/,Tim McKirdy,2023-03-13,https://vinepair.com/wp-content/uploads/2022/03/buy-this-booze-irish-whiskey_card_redbreast.jpg
waterford-irish-single-malt-whisky-the-cuvee,Waterford Irish Single Malt Whisky 'The Cuvée',single-malt,waterford,waterford,50.0,,101.0,94,A harmonious and nuanced blend,"Waterford was founded by Mark Reynier, a former Bruichladdich CEO, and focuses on terroir-driven whiskies that place grain provenance front and center. This, the company’s flagship expression, is...",Waterford Single Malt Irish Whisky ‘Biodynamic: Luna 1.1’|Paddy's Old Irish Whiskey|The Tyrconnell 10 Year Port Cask Finish Irish Whiskey|Writers’ Tears ‘Red Head’ Single Malt Irish Whiskey,https://vinepair.com/review/waterford-irish-single-malt-whisky-the-cuvee/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2022/03/buy-this-booze-irish-whiskey_card_waterford.jpg
dingle-single-malt-whiskey-batch-no-4,Dingle Single Malt Whiskey Batch No. 4,single-malt,dingle,dingle,46.5,,96.0,92,"A creamy, cereal-like single malt","Established in 2012, the Dingle Distillery is among the newer wave of Irish whiskey producers currently reenergizing the category. While sourcing remains common in the space, Dingle produced all of...",Writers’ Tears ‘Red Head’ Single Malt Irish Whiskey|The Tyrconnell 10 Year Port Cask Finish Irish Whiskey|Waterford Irish Single Malt Whisky 'The Cuvée'|Paddy's Old Irish Whiskey,https://vinepair.com/review/dingle-single-malt-whiskey-batch-no-4/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2022/03/buy-this-booze-irish-whiskey_card_dingle.jpg
teeling-blackpitts-peated-single-malt-whiskey,Teeling Blackpitts Peated Single Malt Whiskey,single-malt,teeling,teeling,46.0,,79.0,92,"Begins with a bang, finishes with a soft malty landing","Peated whiskey remains much less common in Ireland than it does in Scotland, and this release from Teeling is among the best on offer. Bottled at 46 percent ABV, it's a bold, expressive whiskey...",Teeling Small Batch Irish Whiskey|West Cork Distillers Single Malt Irish Whiskey Bog Oak Charred Cask|Killowen Distillery Single Malt Irish Whiskey Signature 5 Year Rum and Raisin Inspired|Michael Collins Irish Whiskey,https://vinepair.com/review/teeling-blackpitts-peated-single-malt-whiskey/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2022/03/buy-this-booze-irish-whiskey_internal_blackpitts.jpg
tipperary-single-malt-whiskey-homegrown-barley,Tipperary Single Malt Whiskey 'Homegrown Barley',single-malt,tipperary,,50.0,,78.0,93,Expressive beyond its years,"A true grain to glass release, this single malt is distilled from barley grown on Tipperary’s farm. It's a relatively young release, aged for at least three years in former Rioja barrels, but its 50...",Clonakilty Distillery Single Batch Double Oak Cask Finish Irish Whiskey|Writers’ Tears ‘Red Head’ Single Malt Irish Whiskey|Michael Collins Irish Whiskey|Teeling Small Batch Irish Whiskey,https://vinepair.com/review/tipperary-single-malt-whiskey-homegrown-barley/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2022/03/buy-this-booze-irish-whiskey_card_tipperary.jpg
writers-tears-double-oak-irish-whiskey,Writers Tears Double Oak Irish Whiskey,blended,writers-tears,,46.0,,61.0,91,A delightful double act,"From Walsh Whiskey, arrives this blend of single pot still and single malt whiskeys, which are aged in bourbon and Cognac casks. Both of those vessels play a large role in its final profile, with...",Clonakilty Distillery Single Batch Double Oak Cask Finish Irish Whiskey|Paddy's Old Irish Whiskey|Killowen Distillery Single Malt Irish Whiskey Signature 5 Year Rum and Raisin Inspired|Two Stacks The First Cut Irish Whiskey,https://vinepair.com/review/writers-tears-double-oak-irish-whiskey/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2022/03/buy-this-booze-irish-whiskey_card_writerstears.jpg
bushmills-12-year-old-single-malt-irish-whiskey,Bushmills 12 Year Old Single Malt Irish Whiskey,single-malt,bushmills,bushmills,40.0,12,61.0,93,Fortified and sweet wine meets single malt,"This 12-year-old expression joined the permanent Bushmills lineup in early 2022. A single malt whiskey, it spends at least 11 years aging in sherry and bourbon casks before being finished in Marsala...",Clonakilty Distillery Single Batch Double Oak Cask Finish Irish Whiskey|Redbreast Single Pot Still Irish Whiskey Pedro Ximénez Edition|Dingle Single Malt Whiskey Batch No. 4|Tipperary Single Malt Whiskey 'Homegrown Barley',https://vinepair.com/review/bushmills-12-year-old-single-malt-irish-whiskey/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2022/03/buy-this-booze-irish-whiskey_card_bushmills.jpg
limavady-single-barrel-single-malt-irish-whiskey,Limavady Single Barrel Single Malt Irish Whiskey,single-malt,limavady,,46.0,,51.0,91,A whiskey of pleasant contrasts,"Launched in 2021, Limavady is the brainchild of Darryl McNally, a Bushmills veteran who spent nearly two decades at the iconic distillery. The brand offers one product: a single-barrel (currently...",Dingle Single Malt Whiskey Batch No. 4|Michael Collins Irish Whiskey|Killowen Distillery Single Malt Irish Whiskey Signature 5 Year Rum and Raisin Inspired|Teeling ‘Blackpitts’ Peated Single Malt Whiskey,https://vinepair.com/review/limavady-single-barrel-single-malt-irish-whiskey/,Tim McKirdy,2023-01-03,https://vinepair.com/wp-content/uploads/2022/03/buy-this-booze-irish-whiskey_card_limavady.jpg
two-stacks-the-first-cut-irish-whiskey,Two Stacks The First Cut Irish Whiskey,blended,two-stacks,,42.0,,46.0,90,A distinctive blended Irish whiskey,"Two Stacks is an innovative operator in the Irish whiskey realm, offering single-serve, canned drams, and among the few cask-strength releases we’ve encountered at VinePair. This 42 percent ABV...",Two Stacks Blended Irish Whiskey 'Tawny Port Cask Finished'|Lost Irish Triple Distilled Irish Whiskey|Waterford Irish Single Malt Whisky 'The Cuvée'|High N’ Wicked Aeneas Coffey Single Grain Irish Whiskey,https://vinepair.com/review/two-stacks-the-first-cut-irish-whiskey/,Tim McKirdy,2022-06-27,https://vinepair.com/wp-content/uploads/2022/03/buy-this-booze-irish-whiskey_card_twostacks.jpg
